rank,name,symbol,market_cap,price,circulating_supply,volume,percent_per_hour,percent_per_week,percent_per_day
1,Bitcoin,BTC,"$1.36T$1,360,500,505,229","$69,027.12","19,703,334 BTC","$22,309,795,488",-0.18%,2.84%,3.18%
2,Ethereum,ETH,"$448.95B$448,947,202,337","$3,735.33","120,132,764 ETH *","$14,504,024,358",-0.14%,1.57%,20.09%
3,Tether USDt,USDT,"$111.94B$111,941,799,153",$1.00,"111,937,360,458 USDT *","$52,390,692,336",<0.01%,0.08%,-0.03%
4,BNB,BNB,"$88.77B$88,773,429,305",$601.54,"147,585,796 BNB *","$1,540,277,219",-0.20%,1.07%,4.45%
5,Solana,SOL,"$75.25B$75,254,957,060",$167.45,"449,410,445 SOL *","$2,408,222,952",-0.43%,1.13%,-3.56%
6,USDC,USDC,"$32.76B$32,760,274,284",$1.00,"32,757,237,483 USDC *","$4,485,548,295",-0.01%,0.02%,<0.01%
7,XRP,XRP,"$29.64B$29,641,468,218",$0.5351,"55,430,475,754 XRP *","$772,148,834",-0.36%,0.54%,2.78%
8,Dogecoin,DOGE,"$23.9B$23,895,568,628",$0.1654,"144,436,096,384 DOGE","$1,888,291,606",-0.68%,1.52%,8.63%
9,Toncoin,TON,"$22.28B$22,281,696,217",$6.41,"3,474,655,951 TON *","$144,447,792",0.10%,3.99%,-0.20%
10,Cardano,ADA,"$16.36B$16,361,643,984",$0.4584,"35,689,187,443 ADA *","$289,888,757",-0.53%,0.09%,-4.01%
11,Avalanche,AVAX,"$14.87B$14,867,219,640",$37.85,"392,836,382 AVAX *","$284,934,031",-0.71%,0.59%,1.82%
12,Shiba Inu,SHIB,"$14.5B$14,498,032,757",$0.0000246,"589,271,855,964,889 SHIB *","$476,359,199",-0.68%,1.93%,0.24%
13,Polkadot,DOT,"$10.46B$10,461,659,421",$7.28,"1,437,953,431 DOT *","$156,807,680",-0.40%,0.49%,2.66%
14,Chainlink,LINK,"$10.02B$10,020,883,648",$17.07,"587,099,970 LINK *","$416,449,067",0.19%,-1.17%,4.92%
15,TRON,TRX,"$9.9B$9,903,447,412",$0.1133,"87,410,153,602 TRX *","$303,071,160",-0.27%,-0.97%,-8.25%
16,Bitcoin Cash,BCH,"$9.7B$9,696,042,652",$491.92,"19,710,494 BCH","$337,191,986",-0.48%,1.77%,3.32%
17,NEAR Protocol,NEAR,"$8.65B$8,645,069,015",$8.01,"1,079,215,582 NEAR *","$487,228,897",-1.28%,5.05%,1.07%
18,Polygon,MATIC,"$7.16B$7,155,725,146",$0.723,"9,896,952,631 MATIC *","$210,012,110",-0.44%,0.58%,1.77%
19,Uniswap,UNI,"$6.47B$6,471,218,589",$10.80,"598,930,295 UNI *","$593,607,123",-1.08%,17.35%,38.55%
20,Litecoin,LTC,"$6.31B$6,312,760,574",$84.66,"74,569,569 LTC","$325,732,449",-0.21%,0.21%,1.10%
Pepe,,,,,,,,,
Internet Computer,,,,,,,,,
UNUS SED LEO,,,,,,,,,
Dai,,,,,,,,,
Ethereum Classic,,,,,,,,,
Render,,,,,,,,,
Aptos,,,,,,,,,
Hedera,,,,,,,,,
Immutable,,,,,,,,,
Mantle,,,,,,,,,
Cosmos,,,,,,,,,
Filecoin,,,,,,,,,
Cronos,,,,,,,,,
Stellar,,,,,,,,,
Arbitrum,,,,,,,,,
Kaspa,,,,,,,,,
First Digital USD,,,,,,,,,
The Graph,,,,,,,,,
Bittensor,,,,,,,,,
dogwifhat,,,,,,,,,
OKB,,,,,,,,,
Stacks,,,,,,,,,
Optimism,,,,,,,,,
Arweave,,,,,,,,,
Monero,,,,,,,,,
Maker,,,,,,,,,
VeChain,,,,,,,,,
Sui,,,,,,,,,
Injective,,,,,,,,,
Bonk,,,,,,,,,
Theta Network,,,,,,,,,
Fantom,,,,,,,,,
THORChain,,,,,,,,,
Lido DAO,,,,,,,,,
FLOKI,,,,,,,,,
Fetch.ai,,,,,,,,,
Core,,,,,,,,,
Ondo,,,,,,,,,
Celestia,,,,,,,,,
Pyth Network,,,,,,,,,
Bitget Token,,,,,,,,,
Algorand,,,,,,,,,
Jupiter,,,,,,,,,
Aave,,,,,,,,,
Sei,,,,,,,,,
Starknet,,,,,,,,,
Flow,,,,,,,,,
Beam,,,,,,,,,
Ethena,,,,,,,,,
Gala,,,,,,,,,
Akash Network,,,,,,,,,
Bitcoin SV,,,,,,,,,
SingularityNET,,,,,,,,,
BitTorrent (New),,,,,,,,,
Axie Infinity,,,,,,,,,
dYdX (Native),,,,,,,,,
Quant,,,,,,,,,
Flare,,,,,,,,,
Neo,,,,,,,,,
MultiversX,,,,,,,,,
Ronin,,,,,,,,,
Chiliz,,,,,,,,,
JasmyCoin,,,,,,,,,
Worldcoin,,,,,,,,,
Pendle,,,,,,,,,
Wormhole,,,,,,,,,
The Sandbox,,,,,,,,,
eCash,,,,,,,,,
Tezos,,,,,,,,,
KuCoin Token,,,,,,,,,
EOS,,,,,,,,,
Gnosis,,,,,,,,,
Synthetix,,,,,,,,,
Mina,,,,,,,,,
AIOZ Network,,,,,,,,,
Conflux,,,,,,,,,
BOOK OF MEME,,,,,,,,,
Decentraland,,,,,,,,,
PancakeSwap,,,,,,,,,
ORDI,,,,,,,,,
ApeCoin,,,,,,,,,
Nexo,,,,,,,,,
IOTA,,,,,,,,,
Aevo,,,,,,,,,
GateToken,,,,,,,,,
Blur,,,,,,,,,
Kava,,,,,,,,,
Ethereum Name Service,,,,,,,,,
USDD,,,,,,,,,
Livepeer,,,,,,,,,
Nervos Network,,,,,,,,,
Theta Fuel,,,,,,,,,
Klaytn,,,,,,,,,
DeXe,,,,,,,,,
Helium,,,,,,,,,
Terra Classic,,,,,,,,,
Bitcoin Gold,,,,,,,,,
WOO,,,,,,,,,
Echelon Prime,,,,,,,,,
SATS,,,,,,,,,
Axelar,,,,,,,,,
Curve DAO Token,,,,,,,,,
Oasis,,,,,,,,,
ether.fi,,,,,,,,,
Tether Gold,,,,,,,,,
Osmosis,,,,,,,,,
Ocean Protocol,,,,,,,,,
Notcoin,,,,,,,,,
MANTRA,,,,,,,,,
XDC Network,,,,,,,,,
FTX Token,,,,,,,,,
Compound,,,,,,,,,
Golem,,,,,,,,,
Memecoin,,,,,,,,,
Astar,,,,,,,,,
WEMIX,,,,,,,,,
BinaryX,,,,,,,,,
dYdX (ethDYDX),,,,,,,,,
TrueUSD,,,,,,,,,
Enjin Coin,,,,,,,,,
SuperVerse,,,,,,,,,
1inch Network,,,,,,,,,
IoTeX,,,,,,,,,
ssv.network,,,,,,,,,
Raydium,,,,,,,,,
SKALE,,,,,,,,,
GMT,,,,,,,,,
0x Protocol,,,,,,,,,
Ribbon Finance,,,,,,,,,
Arkham,,,,,,,,,
Rocket Pool,,,,,,,,,
Celo,,,,,,,,,
Trust Wallet Token,,,,,,,,,
APENFT,,,,,,,,,
Ankr,,,,,,,,,
Jito,,,,,,,,,
Terra,,,,,,,,,
Biconomy,,,,,,,,,
Zilliqa,,,,,,,,,
MX TOKEN,,,,,,,,,
Arcblock,,,,,,,,,
Reserve Rights,,,,,,,,,
Zcash,,,,,,,,,
Radix,,,,,,,,,
PAX Gold,,,,,,,,,
Manta Network,,,,,,,,,
Metis,,,,,,,,,
Ravencoin,,,,,,,,,
Galxe,,,,,,,,,
DOG•GO•TO•THE•MOON,,,,,,,,,
Holo,,,,,,,,,
Siacoin,,,,,,,,,
SPACE ID,,,,,,,,,
ZetaChain,,,,,,,,,
Dymension,,,,,,,,,
Aragon,,,,,,,,,
Illuvium,,,,,,,,,
PayPal USD,,,,,,,,,
EthereumPoW,,,,,,,,,
ConstitutionDAO,,,,,,,,,
Qtum,,,,,,,,,
Altlayer,,,,,,,,,
Polymesh,,,,,,,,,
aelf,,,,,,,,,
Loopring,,,,,,,,,
Frax Share,,,,,,,,,
Yield Guild Games,,,,,,,,,
OriginTrail,,,,,,,,,
Basic Attention Token,,,,,,,,,
SafePal,,,,,,,,,
Threshold,,,,,,,,,
Dash,,,,,,,,,
Casper,,,,,,,,,
Centrifuge,,,,,,,,,
Mask Network,,,,,,,,,
NEM,,,,,,,,,
Gas,,,,,,,,,
Decred,,,,,,,,,
Chia,,,,,,,,,
Flux,,,,,,,,,
